Date,Open,High,Low,Close,Volume
8-Aug-17,4.67,4.68,4.47,4.54,327585
7-Aug-17,4.71,4.75,4.50,4.60,269180
4-Aug-17,4.38,4.73,4.38,4.70,553557
3-Aug-17,5.24,5.35,4.27,4.32,1207748
2-Aug-17,5.50,5.55,5.41,5.51,426726
1-Aug-17,5.43,5.57,5.33,5.55,168692
31-Jul-17,-,5.37,-,5.35,174075
28-Jul-17,5.31,5.42,5.26,5.28,74332
27-Jul-17,5.39,5.44,5.27,5.33,86386
26-Jul-17,5.46,5.52,5.26,5.38,182705
25-Jul-17,5.30,5.55,5.27,5.47,213254
24-Jul-17,5.22,5.34,5.21,5.27,225155
21-Jul-17,5.59,5.61,5.21,5.23,313579
20-Jul-17,5.58,5.62,5.40,5.55,191841
19-Jul-17,5.63,5.67,5.53,5.57,196800
18-Jul-17,5.62,5.74,5.53,5.58,147106
17-Jul-17,5.70,5.85,5.63,5.66,159419
14-Jul-17,5.77,5.84,5.63,5.76,217480
13-Jul-17,5.65,5.79,5.64,5.77,313900
12-Jul-17,5.60,5.74,5.49,5.66,175516
11-Jul-17,5.43,5.61,5.43,5.57,295328
